PropertyId,PropertyDesc,PropertyDeutsch,PropertyEnglisch,PropertyDeutschCH,PropertyFranzoesisch,PropertyNiederlaendisch,PropertyItalienisch,PropertySpanisch,PropertyValueId,PropertyValueDesc,PropertyValueDeutsch,PropertyValueEnglisch,PropertyValueDeutschCH,PropertyValueFranzoesisch,PropertyValueNiederlaendisch,PropertyValueItalienisch,PropertyValueSpanisch
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1512,Abholung Laser-Line,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1513,Kurier Laser-Line,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1514,Zustellung bis 10 Uhr,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1515,Zustellung bis 12 Uhr,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1561,Teilversand,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,Veredelungsseite,Veredelungsseite,Side for finishing,Veredelungsseite,Finition côté,Afwerking zijde,Pagina rifinita,Página de ennoblecimiento,10,Außenseite,Außenseite,outside,Aussenseite,Page extérieure,Buitenkant,lato esterno,exterior
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,11,85x55mm,85 x 55 mm,85 x 55 mm,85 x 55 mm,85 x 55 mm,85 x 55 mm,85 x 55 mm,85 x 55 mm
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,12,Hardcover,Bücher mit Hardcover in Großauflage,Books with hardcover (large print runs),Bücher mit Hardcover,Livres à couverture rigide offset,Boeken met hardcover offset druk,Libri con copertina rigida,Libros con tapa dura
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,31,einzeln eingeschweißt,einzeln eingeschweißt,individually shrink wrapped,einzeln eingeschweisst,mise sous film individuelle,Per stuk verpakt in krimpfolie,cellofanatura singola,retractilado individual
77,Einband Umschlag,Einband/Umschlag,Covering/Cover,Einband/Umschlag,Couverture/plat,Cover/omslag,Piatto/copertina,Tapa (encuadernada),38,2mm Buchbindekarton,2 mm Buchbindekarton,2 mm cardboard,2 mm Buchbindekarton,carton de couverture (2 mm),2 mm grijsbord karton,cartoncino 2 mm,Cartón de cubierta (2 mm)
